setting,O1,O10,O1 Central Wavelength,O2 Central Wavelength,O3 Central Wavelength,O4 Central Wavelength,O5 Central Wavelength,O6 Central Wavelength,O7 Central Wavelength,O8 Central Wavelength,O9 Central Wavelength,O10 Central Wavelength,O1 Central Y Det1,O2 Central Y Det1,O3 Central Y Det1,O4 Central Y Det1,O5 Central Y Det1,O6 Central Y Det1,O7 Central Y Det1,O8 Central Y Det1,O9 Central Y Det1,O10 Central Y Det1,O1 Central Y Det2,O2 Central Y Det2,O3 Central Y Det2,O4 Central Y Det2,O5 Central Y Det2,O6 Central Y Det2,O7 Central Y Det2,O8 Central Y Det2,O9 Central Y Det2,O10 Central Y Det2,O1 Central Y Det3,O2 Central Y Det3,O3 Central Y Det3,O4 Central Y Det3,O5 Central Y Det3,O6 Central Y Det3,O7 Central Y Det3,O8 Central Y Det3,O9 Central Y Det3,O10 Central Y Det3,O1 Blaze Wavelength,O2 Blaze Wavelength,O3 Blaze Wavelength,O4 Blaze Wavelength,O5 Blaze Wavelength,O6 Blaze Wavelength,O7 Blaze Wavelength,O8 Blaze Wavelength,O9 Blaze Wavelength,O10 Blaze Wavelength,O1 FSR min,O2 FSR min,O3 FSR min,O4 FSR min,O5 FSR min,O6 FSR min,O7 FSR min,O8 FSR min,O9 FSR min,O10 FSR min,O1 FSR max,O2 FSR max,O3 FSR max,O4 FSR max,O5 FSR max,O6 FSR max,O7 FSR max,O8 FSR max,O9 FSR max,O10 FSR max,O1 BEG DET1,O2 BEG DET1,O3 BEG DET1,O4 BEG DET1,O5 BEG DET1,O6 BEG DET1,O7 BEG DET1,O8 BEG DET1,O9 BEG DET1,O10 BEG DET1,O1 END DET1,O2 END DET1,O3 END DET1,O4 END DET1,O5 END DET1,O6 END DET1,O7 END DET1,O8 END DET1,O9 END DET1,O10 END DET1,O1 BEG DET2,O2 BEG DET2,O3 BEG DET2,O4 BEG DET2,O5 BEG DET2,O6 BEG DET2,O7 BEG DET2,O8 BEG DET2,O9 BEG DET2,O10 BEG DET2,O1 END DET2,O2 END DET2,O3 END DET2,O4 END DET2,O5 END DET2,O6 END DET2,O7 END DET2,O8 END DET2,O9 END DET2,O10 END DET2,O1 BEG DET3,O2 BEG DET3,O3 BEG DET3,O4 BEG DET3,O5 BEG DET3,O6 BEG DET3,O7 BEG DET3,O8 BEG DET3,O9 BEG DET3,O10 BEG DET3,O1 END DET3,O2 END DET3,O3 END DET3,O4 END DET3,O5 END DET3,O6 END DET3,O7 END DET3,O8 END DET3,O9 END DET3
INS.WLEN.ID,,,INS.WLEN.CWLEN1,INS.WLEN.CWLEN2,INS.WLEN.CWLEN3,INS.WLEN.CWLEN4,INS.WLEN.CWLEN5,INS.WLEN.CWLEN6,INS.WLEN.CWLEN7,INS.WLEN.CWLEN8,INS.WLEN.CWLEN9,INS.WLEN.CWLEN10,1:INS.WLEN.CENY1,1:INS.WLEN.CENY2,1:INS.WLEN.CENY3,1:INS.WLEN.CENY4,1:INS.WLEN.CENY5,1:INS.WLEN.CENY6,1:INS.WLEN.CENY7,1:INS.WLEN.CENY8,1:INS.WLEN.CENY9,1:INS.WLEN.CENY10,2:INS.WLEN.CENY1,2:INS.WLEN.CENY2,2:INS.WLEN.CENY3,2:INS.WLEN.CENY4,2:INS.WLEN.CENY5,2:INS.WLEN.CENY6,2:INS.WLEN.CENY7,2:INS.WLEN.CENY8,2:INS.WLEN.CENY9,2:INS.WLEN.CENY10,3:INS.WLEN.CENY1,3:INS.WLEN.CENY2,3:INS.WLEN.CENY3,3:INS.WLEN.CENY4,3:INS.WLEN.CENY5,3:INS.WLEN.CENY6,3:INS.WLEN.CENY7,3:INS.WLEN.CENY8,3:INS.WLEN.CENY9,3:INS.WLEN.CENY10,,,,,,,,,,,INS.WLEN.MIN1,INS.WLEN.MIN2,INS.WLEN.MIN3,INS.WLEN.MIN4,INS.WLEN.MIN5,INS.WLEN.MIN6,INS.WLEN.MIN7,INS.WLEN.MIN8,INS.WLEN.MIN9,INS.WLEN.MIN10,INS.WLEN.MAX1,INS.WLEN.MAX2,INS.WLEN.MAX3,INS.WLEN.MAX4,INS.WLEN.MAX5,INS.WLEN.MAX6,INS.WLEN.MAX7,INS.WLEN.MAX8,INS.WLEN.MAX9,INS.WLEN.MAX10,1:INS.WLEN.BEGIN1,1:INS.WLEN.BEGIN2,1:INS.WLEN.BEGIN3,1:INS.WLEN.BEGIN4,1:INS.WLEN.BEGIN5,1:INS.WLEN.BEGIN6,1:INS.WLEN.BEGIN7,1:INS.WLEN.BEGIN8,1:INS.WLEN.BEGIN9,1:INS.WLEN.BEGIN10,1:INS.WLEN.END1,1:INS.WLEN.END2,1:INS.WLEN.END3,1:INS.WLEN.END4,1:INS.WLEN.END5,1:INS.WLEN.END6,1:INS.WLEN.END7,1:INS.WLEN.END8,1:INS.WLEN.END9,1:INS.WLEN.END10,2:INS.WLEN.BEGIN1,2:INS.WLEN.BEGIN2,2:INS.WLEN.BEGIN3,2:INS.WLEN.BEGIN4,2:INS.WLEN.BEGIN5,2:INS.WLEN.BEGIN6,2:INS.WLEN.BEGIN7,2:INS.WLEN.BEGIN8,2:INS.WLEN.BEGIN9,2:INS.WLEN.BEGIN10,2:INS.WLEN.END1,2:INS.WLEN.END2,2:INS.WLEN.END3,2:INS.WLEN.END4,2:INS.WLEN.END5,2:INS.WLEN.END6,2:INS.WLEN.END7,2:INS.WLEN.END8,2:INS.WLEN.END9,2:INS.WLEN.END10,3:INS.WLEN.BEGIN1,3:INS.WLEN.BEGIN2,3:INS.WLEN.BEGIN3,3:INS.WLEN.BEGIN4,3:INS.WLEN.BEGIN5,3:INS.WLEN.BEGIN6,3:INS.WLEN.BEGIN7,3:INS.WLEN.BEGIN8,3:INS.WLEN.BEGIN9,3:INS.WLEN.BEGIN10,3:INS.WLEN.END1,3:INS.WLEN.END2,3:INS.WLEN.END3,3:INS.WLEN.END4,3:INS.WLEN.END5,3:INS.WLEN.END6,3:INS.WLEN.END7,3:INS.WLEN.END8,3:INS.WLEN.END9
Y/1/2,51,60,1110.041,1088.694,1068.152,1048.372,1029.310,1010.930,993.194,976.070,959.527,-1.000,284.4,528.1,761.4,985.2,1200.1,1405.7,1603.9,1795.8,1990.0,-100.1,248.9,494.4,729.9,955.5,1171.9,1379.6,1578.6,1772.0,1980.0,-100.1,214.3,462.9,700.5,927.8,1146.1,1356.2,1557.5,1751.3,1945.0,-100.1,1109.171,1087.841,1067.315,1047.550,1028.504,1010.138,992.416,975.305,958.775,942.795,1099.178,1078.214,1058.034,1038.597,1019.861,1001.790,984.348,967.503,951.225,935.487,1119.347,1097.641,1076.761,1056.659,1037.295,1018.626,1000.618,983.235,966.445,950.219,1098.361,1077.301,1057.026,1037.491,1018.659,1000.492,982.956,966.019,949.651,933.504,1105.775,1084.572,1064.159,1044.492,1025.532,1007.241,989.586,972.534,956.055,939.807,1106.275,1085.064,1064.643,1044.968,1026.001,1007.703,990.040,972.981,956.495,940.241,1113.337,1091.990,1071.437,1051.636,1032.546,1014.131,996.355,979.186,962.595,946.215,1113.825,1092.471,1071.911,1052.102,1033.005,1014.583,996.799,979.624,963.025,946.668,1120.529,1099.046,1078.361,1058.432,1039.219,1020.685,1002.794,985.514,968.815
Y/2/2,51,60,1108.231,1086.919,1066.411,1046.662,1027.632,1009.282,991.575,974.479,957.962,-1.000,306.5,549.7,782.5,1005.7,1220.2,1425.3,1623.3,1814.8,2010.0,-100.1,270.6,515.6,750.5,975.7,1191.7,1398.8,1597.6,1790.6,2000.0,-100.1,235.6,483.6,720.8,947.6,1165.5,1375.2,1576.0,1769.6,1965.0,-100.1,1108.214,1086.903,1066.395,1046.647,1027.617,1009.267,991.560,974.464,957.948,941.982,1098.230,1077.284,1057.122,1037.701,1018.982,1000.926,983.499,966.669,950.405,934.680,1118.381,1096.694,1075.832,1055.748,1036.400,1017.748,999.755,982.387,965.612,949.399,1096.487,1075.463,1055.221,1035.720,1016.919,998.782,981.276,964.367,948.027,931.907,1103.946,1082.777,1062.397,1042.762,1023.833,1005.572,987.946,970.921,954.469,938.247,1104.448,1083.272,1062.884,1043.241,1024.304,1006.036,988.402,971.371,954.912,938.683,1111.555,1090.242,1069.721,1049.951,1030.892,1012.505,994.757,977.616,961.050,944.725,1112.047,1090.726,1070.198,1050.421,1031.353,1012.960,995.205,978.056,961.483,945.151,1118.796,1097.345,1076.692,1056.793,1037.609,1019.103,1001.239,983.986,967.312
J/1/3,42,51,-1.000,1318.478,1288.512,1259.879,1232.490,1206.267,1181.136,1157.031,1133.891,-1.000,73.5,340.6,596.0,838.8,1069.6,1293.7,1494.8,1697.1,1889.2,-100.1,45.9,316.4,572.5,816.2,1048.1,1269.2,1479.3,1682.4,1876.6,-100.1,19.9,293.2,551.5,797.4,1031.1,1254.3,1466.8,1670.6,1866.3,-100.1,1347.889,1316.542,1286.621,1258.029,1230.681,1204.496,1179.403,1155.333,1132.226,1110.026,1333.395,1302.684,1273.357,1245.322,1218.496,1192.802,1168.170,1144.536,1121.839,1100.026,1362.701,1330.699,1300.164,1270.999,1243.112,1216.422,1190.853,1166.336,1142.808,1120.210,1335.687,1304.718,1275.140,1246.863,1219.802,1193.884,1169.035,1145.193,1122.298,1099.920,1344.642,1313.464,1283.687,1255.219,1227.976,1201.883,1176.866,1152.864,1129.815,1107.296,1345.247,1314.057,1284.268,1255.788,1228.534,1202.429,1177.403,1153.390,1130.331,1107.803,1353.774,1322.385,1292.406,1263.744,1236.316,1210.045,1184.859,1160.694,1137.488,1114.825,1354.366,1322.966,1292.975,1264.302,1236.863,1210.581,1185.384,1161.209,1137.993,1115.321,1362.458,1330.868,1300.697,1271.851,1244.248,1217.808,1192.460,1168.139,1144.783
J/2/3,42,51,-1.000,1314.196,1284.328,1255.787,1228.488,1202.350,1177.301,1153.274,1130.209,-1.000,112.9,378.6,632.8,872.7,1100.5,1317.8,1531.7,1732.5,1921.5,-100.1,85.1,353.9,609.2,852.0,1082.7,1303.0,1512.3,1714.9,1907.9,-100.1,58.2,330.2,587.4,832.2,1065.2,1287.5,1499.2,1702.4,1897.0,-100.1,1345.571,1314.279,1284.409,1255.867,1228.565,1202.426,1177.375,1153.347,1130.280,1108.118,1331.103,1300.445,1271.168,1243.181,1216.401,1190.751,1166.162,1142.568,1119.910,1098.135,1360.358,1328.411,1297.929,1268.814,1240.975,1214.331,1188.806,1164.331,1140.843,1118.284,1331.149,1300.283,1270.804,1242.621,1215.651,1189.819,1165.055,1141.294,1118.476,1096.171,1340.211,1309.134,1279.453,1251.077,1223.923,1197.914,1172.981,1149.057,1126.083,1103.635,1340.824,1309.735,1280.042,1251.654,1224.488,1198.468,1173.524,1149.589,1126.606,1104.148,1349.460,1318.169,1288.283,1259.712,1232.370,1206.181,1181.075,1156.986,1133.853,1111.260,1350.059,1318.757,1288.859,1260.276,1232.924,1206.724,1181.607,1157.507,1134.365,1111.762,1358.261,1326.767,1296.687,1267.929,1240.409,1214.049,1188.779,1164.532,1141.248
J/3/3,42,51,1343.272,1312.034,1282.215,1253.721,1226.466,1200.371,1175.363,1151.376,1128.349,-1.000,133.3,399.3,652.0,891.8,1120.4,1322.8,1532.1,1745.5,1935.0,-100.1,105.1,373.3,627.9,870.4,1100.7,1320.5,1529.3,1731.8,1924.1,-100.1,78.0,349.0,605.8,850.1,1082.6,1304.6,1515.8,1718.8,1912.8,-100.1,1344.402,1313.137,1283.293,1254.775,1227.497,1201.380,1176.352,1152.344,1129.298,1107.154,1329.946,1299.314,1270.063,1242.101,1215.344,1189.716,1165.148,1141.575,1118.937,1097.180,1359.175,1327.256,1296.801,1267.711,1239.896,1213.275,1187.772,1163.319,1139.852,1117.312,1328.858,1298.044,1268.615,1240.480,1213.556,1187.766,1163.044,1139.325,1116.546,1094.278,1337.974,1306.947,1277.315,1248.986,1221.877,1195.909,1171.017,1147.134,1124.198,1101.786,1338.590,1307.552,1277.907,1249.566,1222.445,1196.468,1171.564,1147.670,1124.724,1102.302,1347.280,1316.038,1286.200,1257.674,1230.376,1204.230,1179.163,1155.113,1132.017,1109.459,1347.884,1316.630,1286.780,1258.243,1230.934,1204.776,1179.699,1155.638,1132.532,1109.964,1356.140,1324.694,1294.660,1265.946,1238.469,1212.150,1186.919,1162.709,1139.461
H/1/4,32,41,1780.132,1726.188,1675.418,1627.549,1582.339,1539.573,1499.058,1460.621,-1.000,-1.000,248.1,538.2,810.0,1064.5,1304.7,1529.7,1744.5,1950.0,-100.1,-100.1,236.1,528.3,802.3,1059.2,1300.5,1527.2,1743.2,1950.0,-100.1,-100.1,224.9,519.7,795.9,1054.6,1298.3,1527.6,1743.9,1950.0,-100.1,-100.1,1773.564,1719.819,1669.236,1621.544,1576.501,1533.893,1493.527,1455.232,1418.851,1384.245,1749.268,1696.888,1647.558,1601.018,1557.038,1515.412,1475.956,1438.505,1402.909,1369.033,1798.543,1743.379,1691.493,1642.603,1596.457,1552.830,1511.522,1472.352,1435.160,1399.798,1761.933,1708.660,1658.495,1611.176,1566.469,1524.164,1484.075,1446.032,1409.407,1375.031,1773.476,1719.852,1669.357,1621.726,1576.725,1534.142,1493.789,1455.495,1418.642,1384.041,1774.263,1720.617,1670.100,1622.450,1577.429,1534.827,1494.456,1456.145,1419.276,1384.660,1785.241,1731.260,1680.430,1632.482,1587.181,1544.315,1503.693,1465.145,1428.059,1393.229,1786.010,1732.008,1681.156,1633.189,1587.869,1544.984,1504.345,1465.779,1428.679,1393.833,1796.413,1742.094,1690.945,1642.697,1597.111,1553.976,1513.098,1474.307,1437.002
H/2/4,32,41,1771.647,1717.961,1667.433,1619.792,1574.798,1532.236,1491.914,1453.659,-1.000,-1.000,296.7,585.3,855.4,1108.7,1347.2,1571.2,1784.8,1990.0,-100.1,-100.1,284.0,574.5,846.9,1102.1,1342.5,1567.6,1782.8,1990.0,-100.1,-100.1,271.7,564.8,839.4,1096.7,1339.3,1567.0,1782.6,1990.0,-100.1,-100.1,1769.074,1715.465,1665.010,1617.439,1572.510,1530.010,1489.746,1451.548,1415.259,1380.740,1744.840,1692.592,1643.387,1596.965,1553.096,1511.576,1472.220,1434.863,1399.357,1365.567,1793.990,1738.965,1687.211,1638.444,1592.415,1548.899,1507.695,1468.625,1431.526,1396.254,1753.136,1700.125,1650.208,1603.124,1558.638,1516.543,1476.653,1438.799,1402.351,1368.147,1764.890,1711.523,1661.270,1613.868,1569.082,1526.704,1486.545,1448.436,1411.756,1377.323,1765.693,1712.302,1662.027,1614.604,1569.799,1527.402,1487.225,1449.099,1412.402,1377.953,1776.885,1723.154,1672.559,1624.834,1579.743,1537.076,1496.643,1458.274,1421.357,1386.690,1777.669,1723.916,1673.300,1625.554,1580.445,1537.759,1497.308,1458.922,1421.989,1387.307,1788.290,1734.214,1683.293,1635.261,1589.880,1546.938,1506.245,1467.628,1430.487
H/3/4,32,41,1762.987,1709.563,1659.282,1611.874,1567.099,1524.745,1484.621,1446.553,-1.000,-1.000,346.8,633.7,902.1,1154.1,1390.9,1613.9,1826.3,2030.0,-100.1,-100.1,333.0,622.1,892.9,1146.5,1385.2,1609.5,1823.5,2030.0,-100.1,-100.1,320.1,611.3,884.3,1140.5,1381.5,1608.1,1822.9,2030.0,-100.1,-100.1,1764.497,1711.027,1660.703,1613.254,1568.441,1526.051,1485.892,1447.792,1411.597,1377.168,1740.325,1688.213,1639.135,1592.833,1549.078,1507.665,1468.411,1431.151,1395.737,1362.034,1789.349,1734.466,1682.845,1634.205,1588.295,1544.891,1503.794,1464.825,1427.823,1392.642,1744.164,1691.422,1641.758,1594.912,1550.652,1508.771,1469.084,1431.423,1395.156,1361.128,1756.129,1703.023,1653.017,1605.848,1561.284,1519.114,1479.154,1441.233,1404.729,1370.468,1756.946,1703.817,1653.789,1606.599,1562.014,1519.825,1479.846,1441.908,1405.388,1371.110,1768.352,1714.876,1664.521,1617.023,1572.148,1529.684,1489.444,1451.259,1414.514,1380.013,1769.152,1715.653,1665.277,1617.758,1572.863,1530.380,1490.122,1451.919,1415.158,1380.642,1779.989,1726.161,1675.474,1627.663,1582.491,1539.747,1499.241,1460.803,1423.829
H/4/4,32,41,1754.151,1700.995,1650.966,1603.795,1559.245,1517.104,1477.180,1439.303,-1.000,-1.000,397.3,682.7,949.3,1200.1,1435.2,1657.5,1868.9,2070.0,-100.1,-100.1,382.6,670.0,939.3,1191.4,1428.7,1651.8,1865.0,2070.0,-100.1,-100.1,368.7,658.5,929.7,1184.4,1424.1,1649.7,1863.3,2070.0,-100.1,-100.1,1759.833,1706.505,1656.314,1608.990,1564.296,1522.018,1481.965,1443.966,1407.867,1373.528,1735.726,1683.751,1634.803,1588.623,1544.984,1503.680,1464.530,1427.368,1392.048,1358.435,1784.620,1729.882,1678.398,1629.886,1584.097,1540.808,1499.820,1460.954,1424.049,1388.961,1735.018,1682.549,1633.143,1586.541,1542.512,1500.849,1461.369,1423.904,1387.822,1353.972,1747.193,1694.354,1644.600,1597.669,1553.329,1511.374,1471.615,1433.886,1397.563,1363.476,1748.025,1695.162,1645.385,1598.433,1554.073,1512.097,1472.320,1434.573,1398.233,1364.130,1759.643,1706.427,1656.318,1609.052,1564.396,1522.140,1482.097,1444.098,1407.530,1373.200,1760.458,1707.220,1657.088,1609.801,1565.124,1522.849,1482.788,1444.772,1408.187,1373.841,1771.511,1717.936,1667.488,1619.903,1574.944,1532.403,1492.089,1453.833,1417.030
